zip,primary_city,acceptable_cities,state,county,latitude,longitude
14043,Depew,,NY,Erie County,42.91,-78.7
14047,Derby,,NY,Erie County,42.68,-78.99
14048,Dunkirk,Van Buren Bay,NY,Chautauqua County,42.47,-79.33
14051,East Amherst,Swormville,NY,Erie County,43.04,-78.7
14052,East Aurora,,NY,Erie County,42.76,-78.61
14054,East Bethany,,NY,Genesee County,42.91,-78.13
14055,East Concord,Concord,NY,Erie County,42.55,-78.6
14057,Eden,,NY,Erie County,42.65,-78.9
14058,Elba,,NY,Genesee County,43.07,-78.18
14059,Elma,,NY,Erie County,42.83,-78.63
14060,Farmersville Station,Farmersvl Sta,NY,Cattaraugus County,42.44,-78.29
14062,Forestville,,NY,Chautauqua County,42.46,-79.17
14063,Fredonia,,NY,Chautauqua County,42.44,-79.33
14065,Freedom,Sandusky,NY,Cattaraugus County,42.48,-78.32
14066,Gainesville,,NY,Wyoming County,42.64,-78.13
14067,Gasport,,NY,Niagara County,43.19,-78.57
14068,Getzville,,NY,Erie County,43.02,-78.75
14069,Glenwood,,NY,Erie County,42.6,-78.63
14070,Gowanda,,NY,Cattaraugus County,42.46,-78.93
14072,Grand Island,,NY,Erie County,43.01,-78.96
14075,Hamburg,,NY,Erie County,42.72,-78.83
14080,Holland,,NY,Erie County,42.63,-78.54
14081,Irving,,NY,Erie County,42.56,-79.04
14082,Java Center,,NY,Wyoming County,42.66,-78.39
14083,Java Village,,NY,Wyoming County,42.67,-78.44
14085,Lake View,,NY,Erie County,42.71,-78.93
14086,Lancaster,,NY,Erie County,42.9,-78.66
14091,Lawtons,,NY,Erie County,42.54,-78.89
14092,Lewiston,"Stela Niagara, Stella Niagara",NY,Niagara County,43.17,-79.04
14094,Lockport,,NY,Niagara County,43.16,-78.69
14098,Lyndonville,,NY,Orleans County,43.32,-78.38
14101,Machias,,NY,Cattaraugus County,42.38,-78.52
14102,Marilla,,NY,Erie County,42.83,-78.55
14103,Medina,,NY,Orleans County,43.21,-78.38
14105,Middleport,,NY,Niagara County,43.21,-78.47
14108,Newfane,,NY,Niagara County,43.28,-78.69
14111,North Collins,,NY,Erie County,42.59,-78.93
14113,North Java,,NY,Wyoming County,42.66,-78.33
14120,North Tonawanda,N Tonawanda,NY,Niagara County,43.04,-78.86
14125,Oakfield,,NY,Genesee County,43.06,-78.27
14127,Orchard Park,,NY,Erie County,42.76,-78.74
14129,Perrysburg,,NY,Cattaraugus County,42.45,-79
14131,Ransomville,,NY,Niagara County,43.23,-78.9
14132,Sanborn,,NY,Niagara County,43.14,-78.87
14134,Sardinia,,NY,Erie County,42.53,-78.5
14136,Silver Creek,,NY,Chautauqua County,42.54,-79.16
14138,South Dayton,,NY,Cattaraugus County,42.36,-79.05
14139,South Wales,,NY,Erie County,42.7,-78.53
14141,Springville,,NY,Erie County,42.5,-78.67
14143,Stafford,,NY,Genesee County,42.98,-78.08
14145,Strykersville,,NY,Wyoming County,42.73,-78.42
14150,Tonawanda,,NY,Erie County,43,-78.87
14167,Varysburg,,NY,Wyoming County,42.73,-78.31
14170,West Falls,,NY,Erie County,42.7,-78.67
14171,West Valley,,NY,Cattaraugus County,42.43,-78.62
14172,Wilson,,NY,Niagara County,43.31,-78.82
14174,Youngstown,,NY,Niagara County,43.24,-79.04
14201,Buffalo,,NY,Erie County,42.88,-78.85
14202,Buffalo,,NY,Erie County,42.88,-78.85
14203,Buffalo,,NY,Erie County,42.88,-78.85
14204,Buffalo,,NY,Erie County,42.88,-78.85
14206,Buffalo,"Cheektowaga, West Seneca",NY,Erie County,42.88,-78.85
14207,Buffalo,,NY,Erie County,42.88,-78.85
14208,Buffalo,,NY,Erie County,42.88,-78.85
14209,Buffalo,,NY,Erie County,42.88,-78.85
14210,Buffalo,West Seneca,NY,Erie County,42.88,-78.85
14211,Buffalo,,NY,Erie County,42.88,-78.85
14212,Buffalo,Sloan,NY,Erie County,42.88,-78.85
14213,Buffalo,,NY,Erie County,42.88,-78.85
14214,Buffalo,,NY,Erie County,42.88,-78.85
14215,Buffalo,"Cheektowaga, Snyder",NY,Erie County,42.88,-78.85
14216,Buffalo,,NY,Erie County,42.88,-78.85
14217,Buffalo,"Kenmore, Tn Of Tona, Tonawanda, Town Of Tonawanda",NY,Erie County,42.88,-78.85
14218,Buffalo,"Lackawanna, West Seneca",NY,Erie County,42.88,-78.85
14219,Buffalo,Blasdell,NY,Erie County,42.88,-78.85
14220,Buffalo,,NY,Erie County,42.88,-78.85
14221,Buffalo,"Amherst, Williamsville",NY,Erie County,42.88,-78.85
14222,Buffalo,,NY,Erie County,42.88,-78.85
14223,Buffalo,"Kenmore, Tn Of Tona, Tonawanda, Town Of Tonawanda",NY,Erie County,42.88,-78.85
